approach,challenge_type,versions_seen,runs,success_rate,collision_rate,timeout_rate,invalid_rate,average_steps,average_optimal_steps,efficiency_score,drift_rate,regression_rate,improvement_rate,pure_trace_drift_rate
gpt_pdd_group_a,corridor,5,10,0.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
gpt_pdd_group_a,counterintuitive,5,15,0.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
gpt_pdd_group_a,dead_end,5,15,0.0,0.0,0.0,1.0,0.0,10.667,0.0,0.0,0.0,0.0,0.0
gpt_pdd_group_a,single_detour,5,30,0.0,0.0,0.0,1.0,0.0,8.5,0.0,0.0,0.0,0.0,0.0
gpt_pdd_group_a,straight_line,5,5,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
gpt_pdd_group_a1,corridor,3,6,0.5,0.0,0.5,0.0,13.5,11.0,0.5,0.0,0.0,0.0,0.0
gpt_pdd_group_a1,counterintuitive,3,9,0.0,0.0,1.0,0.0,24.0,11.0,0.0,0.167,0.0,0.0,0.167
gpt_pdd_group_a1,dead_end,3,9,0.111,0.0,0.889,0.0,22.778,10.667,0.103,0.167,0.0,0.167,0.0
gpt_pdd_group_a1,single_detour,3,18,0.056,0.0,0.944,0.0,23.333,8.5,0.05,0.083,0.0,0.083,0.0
gpt_pdd_group_a1,straight_line,3,3,1.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0
gpt_pdd_group_a2,corridor,2,4,0.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
gpt_pdd_group_a2,counterintuitive,2,6,0.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
gpt_pdd_group_a2,dead_end,2,6,0.0,0.0,0.0,1.0,0.0,10.667,0.0,0.0,0.0,0.0,0.0
gpt_pdd_group_a2,single_detour,2,12,0.0,0.0,0.0,1.0,0.0,8.5,0.0,0.0,0.0,0.0,0.0
gpt_pdd_group_a2,straight_line,2,2,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
gpt_pdd_group_a3,corridor,2,4,0.5,0.0,0.5,0.0,13.5,11.0,0.5,0.0,0.0,0.0,0.0
gpt_pdd_group_a3,counterintuitive,2,6,0.0,0.0,1.0,0.0,24.0,11.0,0.0,0.0,0.0,0.0,0.0
gpt_pdd_group_a3,dead_end,2,6,0.0,0.0,1.0,0.0,24.0,10.667,0.0,0.0,0.0,0.0,0.0
gpt_pdd_group_a3,single_detour,2,12,0.0,0.0,1.0,0.0,24.333,8.5,0.0,0.0,0.0,0.0,0.0
gpt_pdd_group_a3,straight_line,2,2,1.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0
gpt_pdd_group_b1,corridor,8,16,0.438,0.0,0.438,0.125,11.812,11.0,0.438,0.214,0.0,0.143,0.071
gpt_pdd_group_b1,counterintuitive,8,24,0.0,0.0,0.875,0.125,21.0,11.0,0.0,0.429,0.0,0.143,0.286
gpt_pdd_group_b1,dead_end,8,24,0.083,0.0,0.792,0.125,20.083,10.667,0.077,0.381,0.048,0.238,0.095
gpt_pdd_group_b1,single_detour,8,48,0.146,0.0,0.729,0.125,19.333,8.5,0.098,0.19,0.024,0.167,0.0
gpt_pdd_group_b1,straight_line,8,8,0.875,0.0,0.0,0.125,3.5,4.0,0.875,0.143,0.0,0.143,0.0
gpt_pdd_group_b2,corridor,8,16,0.375,0.0,0.5,0.125,12.438,11.0,0.361,0.714,0.143,0.214,0.357
gpt_pdd_group_b2,counterintuitive,8,24,0.0,0.0,0.875,0.125,21.0,11.0,0.0,0.286,0.0,0.143,0.143
gpt_pdd_group_b2,dead_end,8,24,0.0,0.0,0.875,0.125,21.0,10.667,0.0,0.571,0.0,0.143,0.429
gpt_pdd_group_b2,single_detour,8,48,0.0,0.0,0.875,0.125,21.292,8.5,0.0,0.452,0.0,0.143,0.31
gpt_pdd_group_b2,straight_line,8,8,0.75,0.0,0.125,0.125,5.5,4.0,0.75,0.286,0.143,0.143,0.0
gpt_pdd_group_b3,corridor,8,16,0.438,0.0,0.438,0.125,11.812,11.0,0.438,0.5,0.0,0.143,0.357
gpt_pdd_group_b3,counterintuitive,8,24,0.0,0.0,0.875,0.125,21.0,11.0,0.0,0.143,0.0,0.143,0.0
gpt_pdd_group_b3,dead_end,8,24,0.25,0.0,0.625,0.125,18.708,10.667,0.213,0.381,0.095,0.19,0.095
gpt_pdd_group_b3,single_detour,8,48,0.188,0.0,0.688,0.125,18.458,8.5,0.14,0.333,0.119,0.214,0.0
gpt_pdd_group_b3,straight_line,8,8,0.875,0.0,0.0,0.125,3.5,4.0,0.875,0.143,0.0,0.143,0.0
