approach,scenario_id,scenario_name,dominant_outcome,consistency_score,consistency_interpretation
gpt_sdd,1,easy_open_short_path,INVALID_CONTROLLER,1.0,high_consistency_stagnation
gpt_sdd,2,easy_single_obstacle_detour,INVALID_CONTROLLER,1.0,high_consistency_stagnation
gpt_sdd,3,easy_l_wall_one_turn,INVALID_CONTROLLER,1.0,high_consistency_stagnation
gpt_sdd,4,easy_corner_goal_blocked,INVALID_CONTROLLER,1.0,high_consistency_stagnation
gpt_sdd,5,easy_two_isolated_obstacles,INVALID_CONTROLLER,1.0,high_consistency_stagnation
gpt_sdd,6,medium_straight_narrow_corridor,INVALID_CONTROLLER,1.0,high_consistency_stagnation
gpt_sdd,7,medium_s_shaped_path,INVALID_CONTROLLER,1.0,high_consistency_stagnation
gpt_sdd,8,medium_central_obstacle,INVALID_CONTROLLER,1.0,high_consistency_stagnation
gpt_sdd,9,medium_single_valid_detour,INVALID_CONTROLLER,1.0,high_consistency_stagnation
gpt_sdd,10,medium_dead_end_corridors,INVALID_CONTROLLER,1.0,high_consistency_stagnation
gpt_sdd,11,hard_maze_one_dead_end,INVALID_CONTROLLER,1.0,high_consistency_stagnation
gpt_sdd,12,hard_u_trap_goal,INVALID_CONTROLLER,1.0,high_consistency_stagnation
gpt_sdd,13,hard_long_detour_budget,INVALID_CONTROLLER,1.0,high_consistency_stagnation
gpt_sdd,14,hard_two_dead_ends,INVALID_CONTROLLER,1.0,high_consistency_stagnation
gpt_sdd,15,hard_move_away_corridor,INVALID_CONTROLLER,1.0,high_consistency_stagnation
opus_sdd,1,easy_open_short_path,TIMEOUT,1.0,high_consistency_stagnation
opus_sdd,2,easy_single_obstacle_detour,TIMEOUT,1.0,high_consistency_stagnation
opus_sdd,3,easy_l_wall_one_turn,TIMEOUT,1.0,high_consistency_stagnation
opus_sdd,4,easy_corner_goal_blocked,TIMEOUT,1.0,high_consistency_stagnation
opus_sdd,5,easy_two_isolated_obstacles,TIMEOUT,1.0,high_consistency_stagnation
opus_sdd,6,medium_straight_narrow_corridor,TIMEOUT,1.0,high_consistency_stagnation
opus_sdd,7,medium_s_shaped_path,TIMEOUT,1.0,high_consistency_stagnation
opus_sdd,8,medium_central_obstacle,TIMEOUT,1.0,high_consistency_stagnation
opus_sdd,9,medium_single_valid_detour,TIMEOUT,1.0,high_consistency_stagnation
opus_sdd,10,medium_dead_end_corridors,TIMEOUT,1.0,high_consistency_stagnation
opus_sdd,11,hard_maze_one_dead_end,TIMEOUT,1.0,high_consistency_stagnation
opus_sdd,12,hard_u_trap_goal,TIMEOUT,1.0,high_consistency_stagnation
opus_sdd,13,hard_long_detour_budget,TIMEOUT,1.0,high_consistency_stagnation
opus_sdd,14,hard_two_dead_ends,TIMEOUT,1.0,high_consistency_stagnation
opus_sdd,15,hard_move_away_corridor,TIMEOUT,1.0,high_consistency_stagnation
