approach,scenario_id,scenario_name,difficulty,challenge_type,from_version,later_versions,preserved_success_count,success_preservation_rate
gpt_sdd_c,1,easy_open_short_path,easy,straight_line,2,2,2,1.0
gpt_sdd_c,1,easy_open_short_path,easy,straight_line,3,1,1,1.0
gpt_sdd_c,1,easy_open_short_path,easy,straight_line,4,0,0,
gpt_sdd_c,2,easy_single_obstacle_detour,easy,single_detour,2,2,0,0.0
gpt_sdd_c,3,easy_l_wall_one_turn,easy,single_detour,2,2,1,0.5
gpt_sdd_c,3,easy_l_wall_one_turn,easy,single_detour,4,0,0,
gpt_sdd_c,4,easy_corner_goal_blocked,easy,single_detour,2,2,1,0.5
gpt_sdd_c,4,easy_corner_goal_blocked,easy,single_detour,4,0,0,
gpt_sdd_c,5,easy_two_isolated_obstacles,easy,single_detour,2,2,0,0.0
gpt_sdd_c,6,medium_straight_narrow_corridor,medium,corridor,2,2,1,0.5
gpt_sdd_c,6,medium_straight_narrow_corridor,medium,corridor,4,0,0,
gpt_sdd_c,11,hard_maze_one_dead_end,hard,dead_end,2,2,0,0.0
opus_sdd_c,1,easy_open_short_path,easy,straight_line,1,3,3,1.0
opus_sdd_c,1,easy_open_short_path,easy,straight_line,2,2,2,1.0
opus_sdd_c,1,easy_open_short_path,easy,straight_line,3,1,1,1.0
opus_sdd_c,1,easy_open_short_path,easy,straight_line,4,0,0,
opus_sdd_c,2,easy_single_obstacle_detour,easy,single_detour,1,3,3,1.0
opus_sdd_c,2,easy_single_obstacle_detour,easy,single_detour,2,2,2,1.0
opus_sdd_c,2,easy_single_obstacle_detour,easy,single_detour,3,1,1,1.0
opus_sdd_c,2,easy_single_obstacle_detour,easy,single_detour,4,0,0,
opus_sdd_c,3,easy_l_wall_one_turn,easy,single_detour,1,3,3,1.0
opus_sdd_c,3,easy_l_wall_one_turn,easy,single_detour,2,2,2,1.0
opus_sdd_c,3,easy_l_wall_one_turn,easy,single_detour,3,1,1,1.0
opus_sdd_c,3,easy_l_wall_one_turn,easy,single_detour,4,0,0,
opus_sdd_c,4,easy_corner_goal_blocked,easy,single_detour,1,3,3,1.0
opus_sdd_c,4,easy_corner_goal_blocked,easy,single_detour,2,2,2,1.0
opus_sdd_c,4,easy_corner_goal_blocked,easy,single_detour,3,1,1,1.0
opus_sdd_c,4,easy_corner_goal_blocked,easy,single_detour,4,0,0,
opus_sdd_c,5,easy_two_isolated_obstacles,easy,single_detour,1,3,3,1.0
opus_sdd_c,5,easy_two_isolated_obstacles,easy,single_detour,2,2,2,1.0
opus_sdd_c,5,easy_two_isolated_obstacles,easy,single_detour,3,1,1,1.0
opus_sdd_c,5,easy_two_isolated_obstacles,easy,single_detour,4,0,0,
opus_sdd_c,6,medium_straight_narrow_corridor,medium,corridor,1,3,3,1.0
opus_sdd_c,6,medium_straight_narrow_corridor,medium,corridor,2,2,2,1.0
opus_sdd_c,6,medium_straight_narrow_corridor,medium,corridor,3,1,1,1.0
opus_sdd_c,6,medium_straight_narrow_corridor,medium,corridor,4,0,0,
opus_sdd_c,10,medium_dead_end_corridors,medium,dead_end,1,3,1,0.333
opus_sdd_c,10,medium_dead_end_corridors,medium,dead_end,2,2,0,0.0
opus_sdd_c,14,hard_two_dead_ends,hard,dead_end,1,3,1,0.333
opus_sdd_c,14,hard_two_dead_ends,hard,dead_end,2,2,0,0.0
