approach,from_version,to_version,challenge_type,comparisons,drift_count,drift_rate,regression_count,regression_rate,improvement_count,improvement_rate,outcome_drift_count,outcome_drift_rate,pure_trace_drift_count,pure_trace_drift_rate
gpt_pdd_group_a,1,2,all,15,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
gpt_pdd_group_a,2,3,all,15,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
gpt_pdd_group_a,3,4,all,15,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
gpt_pdd_group_a,4,5,all,15,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
gpt_pdd_group_a1,1,2,all,15,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
gpt_pdd_group_a1,2,3,all,15,3,0.2,0,0.0,2,0.133,2,0.133,1,0.067
gpt_pdd_group_a2,4,5,all,15,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
gpt_pdd_group_a3,6,7,all,15,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
gpt_pdd_group_b1,1,2,all,15,15,1.0,0,0.0,15,1.0,15,1.0,0,0.0
gpt_pdd_group_b1,2,3,all,15,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
gpt_pdd_group_b1,3,4,all,15,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
gpt_pdd_group_b1,4,5,all,15,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
gpt_pdd_group_b1,5,6,all,15,5,0.333,1,0.067,2,0.133,3,0.2,2,0.133
gpt_pdd_group_b1,6,7,all,15,4,0.267,1,0.067,0,0.0,1,0.067,3,0.2
gpt_pdd_group_b1,7,8,all,15,5,0.333,0,0.0,1,0.067,1,0.067,4,0.267
gpt_pdd_group_b2,1,2,all,15,15,1.0,0,0.0,15,1.0,15,1.0,0,0.0
gpt_pdd_group_b2,2,3,all,15,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
gpt_pdd_group_b2,3,4,all,15,5,0.333,1,0.067,0,0.0,0,0.0,4,0.267
gpt_pdd_group_b2,4,5,all,15,5,0.333,0,0.0,1,0.067,0,0.0,4,0.267
gpt_pdd_group_b2,5,6,all,15,5,0.333,0,0.0,0,0.0,0,0.0,5,0.333
gpt_pdd_group_b2,6,7,all,15,6,0.4,0,0.0,0,0.0,0,0.0,6,0.4
gpt_pdd_group_b2,7,8,all,15,13,0.867,2,0.133,0,0.0,2,0.133,11,0.733
gpt_pdd_group_b3,1,2,all,15,15,1.0,0,0.0,15,1.0,15,1.0,0,0.0
gpt_pdd_group_b3,2,3,all,15,2,0.133,0,0.0,1,0.067,1,0.067,1,0.067
gpt_pdd_group_b3,3,4,all,15,2,0.133,1,0.067,0,0.0,1,0.067,1,0.067
gpt_pdd_group_b3,4,5,all,15,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
gpt_pdd_group_b3,5,6,all,15,5,0.333,2,0.133,1,0.067,1,0.067,2,0.133
gpt_pdd_group_b3,6,7,all,15,5,0.333,3,0.2,0,0.0,2,0.133,2,0.133
gpt_pdd_group_b3,7,8,all,15,4,0.267,1,0.067,2,0.133,3,0.2,1,0.067
gpt_sdd_a,1,2,all,15,15,1.0,0,0.0,15,1.0,15,1.0,0,0.0
gpt_sdd_a,2,3,all,15,14,0.933,4,0.267,3,0.2,4,0.267,7,0.467
gpt_sdd_a,3,4,all,15,14,0.933,5,0.333,1,0.067,2,0.133,8,0.533
gpt_sdd_b,1,2,all,15,15,1.0,0,0.0,15,1.0,15,1.0,0,0.0
gpt_sdd_b,2,3,all,15,14,0.933,6,0.4,0,0.0,5,0.333,8,0.533
gpt_sdd_b,3,4,all,15,13,0.867,0,0.0,3,0.2,3,0.2,10,0.667
gpt_sdd_c,1,2,all,15,15,1.0,0,0.0,15,1.0,15,1.0,0,0.0
gpt_sdd_c,2,3,all,15,14,0.933,6,0.4,0,0.0,6,0.4,8,0.533
gpt_sdd_c,3,4,all,15,14,0.933,0,0.0,3,0.2,3,0.2,11,0.733
opus_pdd,1,2,all,15,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
opus_pdd,2,3,all,15,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
opus_pdd,3,4,all,15,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
opus_pdd,4,5,all,15,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
opus_pdd_group_a,1,2,all,15,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
opus_pdd_group_a,2,3,all,15,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
opus_pdd_group_a,3,4,all,15,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
opus_pdd_group_a,4,5,all,15,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
opus_pdd_group_a1,1,2,all,15,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
opus_pdd_group_a1,2,3,all,15,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
opus_pdd_group_a2,4,5,all,15,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
opus_pdd_group_a3,6,7,all,15,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
opus_pdd_group_b1,1,2,all,15,14,0.933,1,0.067,1,0.067,2,0.133,12,0.8
opus_pdd_group_b1,2,3,all,15,7,0.467,0,0.0,0,0.0,0,0.0,7,0.467
opus_pdd_group_b1,3,4,all,15,14,0.933,1,0.067,1,0.067,2,0.133,12,0.8
opus_pdd_group_b1,4,5,all,15,14,0.933,1,0.067,5,0.333,6,0.4,8,0.533
opus_pdd_group_b1,5,6,all,15,8,0.533,1,0.067,1,0.067,2,0.133,6,0.4
opus_pdd_group_b1,6,7,all,15,15,1.0,6,0.4,0,0.0,6,0.4,9,0.6
opus_pdd_group_b1,7,8,all,15,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
opus_pdd_group_b2,1,2,all,15,14,0.933,1,0.067,1,0.067,2,0.133,12,0.8
opus_pdd_group_b2,2,3,all,15,5,0.333,0,0.0,0,0.0,0,0.0,5,0.333
opus_pdd_group_b2,3,4,all,15,14,0.933,0,0.0,1,0.067,0,0.0,13,0.867
opus_pdd_group_b2,4,5,all,15,11,0.733,0,0.0,2,0.133,1,0.067,9,0.6
opus_pdd_group_b2,5,6,all,15,14,0.933,1,0.067,3,0.2,2,0.133,10,0.667
opus_pdd_group_b2,6,7,all,15,15,1.0,5,0.333,0,0.0,5,0.333,10,0.667
opus_pdd_group_b2,7,8,all,15,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
opus_pdd_group_b3,1,2,all,15,15,1.0,0,0.0,15,1.0,15,1.0,0,0.0
opus_pdd_group_b3,2,3,all,15,14,0.933,1,0.067,0,0.0,0,0.0,13,0.867
opus_pdd_group_b3,3,4,all,15,14,0.933,1,0.067,0,0.0,1,0.067,13,0.867
opus_pdd_group_b3,4,5,all,15,14,0.933,0,0.0,7,0.467,7,0.467,7,0.467
opus_pdd_group_b3,5,6,all,15,11,0.733,3,0.2,0,0.0,1,0.067,8,0.533
opus_pdd_group_b3,6,7,all,15,15,1.0,7,0.467,0,0.0,7,0.467,8,0.533
opus_pdd_group_b3,7,8,all,15,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
opus_sdd_a,1,2,all,15,14,0.933,8,0.533,0,0.0,8,0.533,6,0.4
opus_sdd_a,2,3,all,15,14,0.933,0,0.0,7,0.467,7,0.467,7,0.467
opus_sdd_a,3,4,all,15,12,0.8,5,0.333,1,0.067,4,0.267,6,0.4
opus_sdd_b,1,2,all,15,14,0.933,6,0.4,0,0.0,6,0.4,8,0.533
opus_sdd_b,2,3,all,15,14,0.933,0,0.0,4,0.267,4,0.267,10,0.667
opus_sdd_b,3,4,all,15,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
opus_sdd_c,1,2,all,15,3,0.2,0,0.0,0,0.0,0,0.0,3,0.2
opus_sdd_c,2,3,all,15,8,0.533,2,0.133,0,0.0,2,0.133,6,0.4
opus_sdd_c,3,4,all,15,11,0.733,2,0.133,0,0.0,0,0.0,9,0.6
target,1,2,all,15,15,1.0,2,0.133,12,0.8,10,0.667,1,0.067
